transaction_id,date,customer_id,product_id,quantity,discount_percent,unit_price,gross_amount,discount_amount,net_amount
T000001,2021-01-01 00:00:00.000000000,C0111,P160,3,5,204.08,612.24,30.612,581.628
T000002,2021-01-01 05:15:08.101620324,C0277,P124,6,5,203.35,1220.1,61.005,1159.0949999999998
T000003,2021-01-01 10:30:16.203240648,C0214,P042,3,0,512.45,1537.3500000000001,0.0,1537.3500000000001
T000004,2021-01-01 15:45:24.304860972,C0231,P047,4,15,191.12,764.48,114.67200000000001,649.808
T000005,2021-01-01 21:00:32.406481296,C0306,P159,3,0,458.43,1375.29,0.0,1375.29
T000006,2021-01-02 02:15:40.508101620,C0121,P190,4,15,181.36,725.44,108.816,616.624
T000007,2021-01-02 07:30:48.609721944,C0134,P184,4,5,175.43,701.72,35.086000000000006,666.634
T000008,2021-01-02 12:45:56.711342268,C0306,P011,4,5,46.78,187.12,9.356,177.764
T000009,2021-01-02 18:01:04.812962592,C0208,P154,3,20,49.85,149.55,29.91,119.64000000000001
T000010,2021-01-02 23:16:12.914582916,C0450,P155,5,10,416.29,2081.4500000000003,208.14500000000004,1873.3050000000003
T000011,2021-01-03 04:31:21.016203240,C0371,P083,3,0,166.16,498.48,0.0,498.48
T000012,2021-01-03 09:46:29.117823564,C0257,P185,6,0,49.39,296.34000000000003,0.0,296.34000000000003
T000013,2021-01-03 15:01:37.219443888,C0185,P109,4,0,201.99,807.96,0.0,807.96
T000014,2021-01-03 20:16:45.321064212,C0286,P027,2,0,61.22,122.44,0.0,122.44
T000015,2021-01-04 01:31:53.422684536,C0442,P187,4,10,229.22,916.88,91.68799999999999,825.192
T000016,2021-01-04 06:47:01.524304861,C0363,P062,2,5,515.9,1031.8,51.59,980.2099999999999
T000017,2021-01-04 12:02:09.625925185,C0180,P148,4,0,215.26,861.04,0.0,861.04
T000018,2021-01-04 17:17:17.727545509,C0421,P131,3,5,203.74,611.22,30.561000000000003,580.659
T000019,2021-01-04 22:32:25.829165833,C0048,P144,3,5,37.82,113.46000000000001,5.673000000000001,107.787
T000020,2021-01-05 03:47:33.930786157,C0087,P103,5,5,472.57,2362.85,118.1425,2244.7075
T000021,2021-01-05 09:02:42.032406481,C0385,P044,1,5,173.91,173.91,8.6955,165.2145
T000022,2021-01-05 14:17:50.134026805,C0019,P093,2,0,408.71,817.42,0.0,817.42
T000023,2021-01-05 19:32:58.235647129,C0046,P030,7,5,51.69,361.83,18.0915,343.7385
T000024,2021-01-06 00:48:06.337267453,C0451,P168,4,15,410.93,1643.72,246.558,1397.162
T000025,2021-01-06 06:03:14.438887777,C0386,P119,3,0,50.14,150.42000000000002,0.0,150.42000000000002
T000026,2021-01-06 11:18:22.540508101,C0056,P193,4,10,191.59,766.36,76.63600000000001,689.724
T000027,2021-01-06 16:33:30.642128425,C0229,P029,3,0,49.08,147.24,0.0,147.24
T000028,2021-01-06 21:48:38.743748749,C0145,P030,5,0,51.69,258.45,0.0,258.45
T000029,2021-01-07 03:03:46.845369073,C0092,P104,1,15,48.89,48.89,7.3335,41.5565
T000030,2021-01-07 08:18:54.946989397,C0082,P110,2,5,183.49,366.98,18.349,348.63100000000003
T000031,2021-01-07 13:34:03.048609722,C0225,P032,6,15,463.31,2779.86,416.97900000000004,2362.8810000000003
T000032,2021-01-07 18:49:11.150230046,C0079,P138,3,20,224.39,673.17,134.634,538.536
T000033,2021-01-08 00:04:19.251850370,C0150,P051,7,0,546.64,3826.48,0.0,3826.48
T000034,2021-01-08 05:19:27.353470694,C0361,P136,5,20,42.05,210.25,42.05,168.2
T000035,2021-01-08 10:34:35.455091018,C0283,P179,4,0,173.59,694.36,0.0,694.36
T000036,2021-01-08 15:49:43.556711342,C0311,P036,5,0,464.61,2323.05,0.0,2323.05
T000037,2021-01-08 21:04:51.658331666,C0485,P055,2,10,48.14,96.28,9.628,86.652
T000038,2021-01-09 02:19:59.759951990,C0160,P163,7,0,41.23,288.60999999999996,0.0,288.60999999999996
T000039,2021-01-09 07:35:07.861572314,C0316,P036,6,15,464.61,2787.66,418.14899999999994,2369.511
T000040,2021-01-09 12:50:15.963192638,C0365,P056,6,5,179.07,1074.42,53.721000000000004,1020.6990000000001
T000041,2021-01-09 18:05:24.064812962,C0467,P036,5,0,464.61,2323.05,0.0,2323.05
T000042,2021-01-09 23:20:32.166433286,C0156,P089,3,0,176.64,529.92,0.0,529.92
T000043,2021-01-10 04:35:40.268053610,C0156,P189,7,0,52.13,364.91,0.0,364.91
T000044,2021-01-10 09:50:48.369673934,C0376,P062,5,0,515.9,2579.5,0.0,2579.5
T000045,2021-01-10 15:05:56.471294258,C0202,P109,3,0,201.99,605.97,0.0,605.97
T000046,2021-01-10 20:21:04.572914583,C0468,P087,7,5,47.49,332.43,16.6215,315.8085
T000047,2021-01-11 01:36:12.674534907,C0409,P153,3,20,203.27,609.8100000000001,121.962,487.84800000000007
T000048,2021-01-11 06:51:20.776155231,C0341,P064,5,0,57.94,289.7,0.0,289.7
T000049,2021-01-11 12:06:28.877775555,C0462,P188,6,0,500.12,3000.7200000000003,0.0,3000.7200000000003
T000050,2021-01-11 17:21:36.979395879,C0342,P057,2,0,215.75,431.5,0.0,431.5
T000051,2021-01-11 22:36:45.081016203,C0117,P113,3,0,49.31,147.93,0.0,147.93
T000052,2021-01-12 03:51:53.182636527,C0154,P070,1,0,62.3,62.3,0.0,62.3
T000053,2021-01-12 09:07:01.284256851,C0364,P180,5,0,207.72,1038.6,0.0,1038.6
T000054,2021-01-12 14:22:09.385877175,C0331,P184,1,5,175.43,175.43,8.771500000000001,166.6585
T000055,2021-01-12 19:37:17.487497499,C0119,P191,3,0,176.9,530.7,0.0,530.7
T000056,2021-01-13 00:52:25.589117823,C0199,P196,2,0,207.29,414.58,0.0,414.58
T000057,2021-01-13 06:07:33.690738147,C0401,P020,5,15,54.59,272.95000000000005,40.94250000000001,232.00750000000005
T000058,2021-01-13 11:22:41.792358471,C0466,P054,1,10,46.42,46.42,4.642,41.778
T000059,2021-01-13 16:37:49.893978795,C0263,P001,4,0,471.78,1887.12,0.0,1887.12
T000060,2021-01-13 21:52:57.995599119,C0184,P090,2,5,556.82,1113.64,55.68200000000001,1057.958
T000061,2021-01-14 03:08:06.097219444,C0448,P138,2,5,224.39,448.78,22.438999999999997,426.34099999999995
T000062,2021-01-14 08:23:14.198839768,C0148,P151,3,10,199.35,598.05,59.805,538.245
T000063,2021-01-14 13:38:22.300460092,C0166,P179,2,15,173.59,347.18,52.077,295.103
T000064,2021-01-14 18:53:30.402080416,C0075,P113,2,0,49.31,98.62,0.0,98.62
T000065,2021-01-15 00:08:38.503700740,C0236,P152,4,5,48.91,195.64,9.782,185.85799999999998
T000066,2021-01-15 05:23:46.605321064,C0314,P013,4,10,209.03,836.12,83.61200000000001,752.508
T000067,2021-01-15 10:38:54.706941388,C0272,P157,8,5,49.89,399.12,19.956,379.164
T000068,2021-01-15 15:54:02.808561712,C0179,P186,3,15,517.62,1552.8600000000001,232.929,1319.931
T000069,2021-01-15 21:09:10.910182036,C0283,P110,6,0,183.49,1100.94,0.0,1100.94
T000070,2021-01-16 02:24:19.011802360,C0051,P091,4,10,480.94,1923.76,192.37599999999998,1731.384
T000071,2021-01-16 07:39:27.113422684,C0075,P095,2,15,211.76,423.52,63.52799999999999,359.99199999999996
T000072,2021-01-16 12:54:35.215043008,C0144,P043,2,5,494.74,989.48,49.474,940.006
T000073,2021-01-16 18:09:43.316663332,C0343,P138,2,0,224.39,448.78,0.0,448.78
T000074,2021-01-16 23:24:51.418283656,C0188,P159,4,10,458.43,1833.72,183.372,1650.348
T000075,2021-01-17 04:39:59.519903981,C0123,P074,5,10,219.42,1097.1,109.71,987.3899999999999
T000076,2021-01-17 09:55:07.621524305,C0332,P014,6,0,53.03,318.18,0.0,318.18
T000077,2021-01-17 15:10:15.723144629,C0251,P099,2,0,47.75,95.5,0.0,95.5
T000078,2021-01-17 20:25:23.824764953,C0296,P109,6,20,201.99,1211.94,242.38800000000003,969.552
T000079,2021-01-18 01:40:31.926385277,C0323,P162,5,5,197.03,985.15,49.2575,935.8924999999999
T000080,2021-01-18 06:55:40.028005601,C0130,P145,4,5,166.64,666.56,33.327999999999996,633.232
T000081,2021-01-18 12:10:48.129625925,C0252,P149,5,15,190.67,953.3499999999999,143.00249999999997,810.3475
T000082,2021-01-18 17:25:56.231246249,C0358,P096,4,0,173.11,692.44,0.0,692.44
T000083,2021-01-18 22:41:04.332866573,C0432,P195,4,10,191.96,767.84,76.784,691.056
T000084,2021-01-19 03:56:12.434486897,C0180,P058,7,10,242.75,1699.25,169.925,1529.325
T000085,2021-01-19 09:11:20.536107221,C0408,P136,3,20,42.05,126.14999999999999,25.23,100.91999999999999
T000086,2021-01-19 14:26:28.637727545,C0349,P096,5,0,173.11,865.5500000000001,0.0,865.5500000000001
T000087,2021-01-19 19:41:36.739347869,C0495,P038,7,15,204.62,1432.3400000000001,214.85100000000003,1217.489
T000088,2021-01-20 00:56:44.840968193,C0110,P154,6,5,49.85,299.1,14.955,284.14500000000004
T000089,2021-01-20 06:11:52.942588517,C0482,P064,2,0,57.94,115.88,0.0,115.88
T000090,2021-01-20 11:27:01.044208842,C0468,P158,5,0,54.95,274.75,0.0,274.75
T000091,2021-01-20 16:42:09.145829166,C0338,P009,5,5,449.64,2248.2,112.41,2135.79
T000092,2021-01-20 21:57:17.247449490,C0078,P121,2,5,213.88,427.76,21.388,406.372
T000093,2021-01-21 03:12:25.349069814,C0466,P032,3,15,463.31,1389.93,208.48950000000002,1181.4405000000002
